X,Y,TYPE,SPEED,DirType,Direction
-2.56204,43.19596,ITRADUKEBI-633Km37DirNEF060,0,4,0
-2.45254,42.45421,080LFERN-232LO-20Km9DIRE,0,4,0
1.98207,41.45616,FVARCORNF120AP-7Km164A.S.LlobregatDIRFrancia,0,4,0
2.20040,42.15637,TUCEKIMO100C-17Ripolltrastunelenincorporacion,0,4,0
-1.50740,39.54988,TUFEFABRPREavisoF120A-3Km247.5DIRSW,0,4,0
-1.51146,39.54814,F120FABRA-3Km247.5DIRSW,0,4,0
-8.39732,43.36995,TUFIEA1EF0301RTúnelPuertoDIRW,0,4,0
-5.79017,36.46813,TUFEA300PREavisoF0801RA-381Km37.3DIRJerezMEDIANA-,0,4,0
-5.57292,36.22965,TUFEA300PREavisoF0801RA-381Km74.8DIRLosBarrios,0,4,0
1.99672,41.28515,CVARTPGN081C-32CamuTrasLosSetos,0,4,0
2.05502,41.30181,CVARMAIG081C-31EntradaaT1,0,4,0
-3.89479,37.43213,F080LETAN-432Km391.8AlcalálaRealDIRCórdoba,0,4,0
-6.23279,37.31947,F080VTS-A-473Km9AznalcázarDIRBenacazón,0,4,0
-5.04982,36.87413,F050IRIBA-367Km18Cuevas-BecerroDIRArdales,0,4,0
-2.47126,42.39915,F090AMOSN-111Km317.35LarderoDIRLogroño,0,4,0
-13.57844,28.95784,F100JOSULanzaroteLZ-2Km1.99AeropuertoDIRArrecife,0,4,0
-13.57870,28.95796,F100JOSULanzaroteLZ-2Km2ArrecifeDIRAeropuerto,0,4,0
-4.59456,40.98032,F090A300N-601Km113.3M.MuñozPosadasDIRValladolid,0,4,0
-3.63359,38.90176,F090ENONCM-4124Km8BolañosDIRManzanares,0,4,0
-5.02210,41.49706,F120RASIA-62Km156.04TordesillasDIRPortugal,0,4,0
-7.01810,37.20564,F100JLMLA-497Km11.9PuntaUmbríaDIRHuelva,0,4,0
-6.98506,37.27174,F080LOGAA-497Km2.6CorralesDIRPuntaUmbría,0,4,0
-6.99027,37.26889,F100JLMLA-497Km3.1CorralesDIRHuelva,0,4,0
-4.63040,40.30180,F050A300CL-501Km18.85LaAdradaDIRPiedralaves,0,4,0
-4.14335,36.85031,F060XABIA-356Km36.5ViñuelaDIRVélez-Malaga,0,4,0
-5.03862,37.00507,F060IRIBA-384Km89.6AlmargenDIRAntequera,0,4,0
-4.41526,40.58668,F090A300CL-505Km29.7NavalperaldePinaresDIRMadrid,0,4,0
-0.43952,42.15473,F080LUPAA-132Km2.7AlerreDIRHuesca,0,4,0
0.48581,41.97486,F090COCKN-230Km48.5SagantaDIRBenabarre,0,4,0
-0.91126,38.15414,F090A300N-340Km694.8AlbateraDIRMurcia,0,4,0
0.33510,41.41516,F090A300N-211Km319Torrente-CincaDIRAlcañiz,0,4,0
-2.27502,42.42856,F090AMOSN-232Km392.7AgoncilloDIRZaragoza,0,4,0
-4.24533,40.85783,F090A300N-110Km207.99FuentemilanosDIRÁvila,0,4,0
0.20156,41.52015,F090SUSEN-IIKm422.1VentasdelReyDIRFrancia,0,4,0
-2.51692,42.44532,F100AMOSLO-20/A-12Km15LaGrajeraDIRLogroño,0,4,0
-16.58320,28.05791,F120CHINTF-1Km59.27AeropuertoDIRSur,0,4,0
-16.37443,28.49107,F120CHINTF-5Km15.01GuamasaDIRStaCruz,0,4,0
-8.29028,42.98866,F050FC66N-634Km695.3O-MarquinoDIRSantiago,0,4,0
-8.17312,43.47572,F050JOSTFE-14Km4.2Ferrol-LasPíasDIRFene,0,4,0
-3.73111,40.41388,F070A300A-5M-30TúnelAvPortugalKm4.16DIRMadrid,0,4,0
-8.40318,42.90824,F070CNPN-547Km87.4O-PinoDIRSantiago,0,4,0
-3.72098,40.39994,F070LMFRM-30Km16.14TúnelPirámides-M.VadilloDIRA-3,0,4,0
-8.71833,42.19684,F050PICAVigoSubidaalCuvi-ClaraCampoamorDIRA,0,4,0
-1.47057,41.81334,F090A300A-121Km2.2AlberiteSJuanDIRFuendejalón,0,4,0
-6.71875,37.79782,F090PIBEN-435Km151.3PatrásDIRHuelva,0,4,0
-5.50718,37.23022,F090VTS-A-8125Km4.2ElArahalDIRMorón,0,4,0
-6.69224,37.61870,F090VTS-N-435Km180.1ElPozueloDIRHuelva,0,4,0
-6.80256,37.50832,F090VTS-N-435Km199.9ValverdedelCaminoDIRHuelva,0,4,0
-0.22780,40.95325,F090A300N-211Km228.15EntradaCalandaDIRTeruel,0,4,0
-0.46705,41.21129,F090NACIN-232Km169.82VentadelBarroDIRAlcañiz,0,4,0
-8.17149,43.24340,F120CARKA-6Km561.2EnlaceCoiros-BetanzosDIRCoruña,0,4,0
-2.26417,40.07387,F120ZANGA-40Km299.5JábagaDIRCuenca,0,4,0
-0.86940,41.69695,F080MRPHN-330Km505.19AGMDIRZaragoza,0,4,0
-17.85223,28.65367,F050A300LaPalmaLP-3Km20.17TaburienteDIRLosLlanos,0,4,0
-0.17610,41.05180,F090NAC1N-232Km137.82CruceN-211DIRAlcañiz,0,4,0
-3.36682,42.49131,F090A300N-IKm271.7Castil-PeonesDIRIrún,0,4,0
0.29335,40.34868,F120ALRMAP-7Km374.7StaMagdalenaDIRFrancia,0,4,0
0.21277,40.23391,F120ALRMAP-7Km390.67TorreblancaDIRAlicante,0,4,0
-0.12943,39.95165,F120ALRMAP-7Km438.3VillaRealDIRAlicante,0,4,0
-8.65079,42.42298,F120PDXOAP-9Km131.39PontevedraDIRCoruña,0,4,0
-5.38438,36.20500,F060ALARCA-34Km0.1SanRoqueDIRA-7,0,4,0
-6.19666,36.63449,F060JAIVCA-31Km1.32AquaparkJerezDIRPuertoStaMaría,0,4,0
-1.21896,41.99351,F090EDUMA-127Km22.9EjeaDIRTauste,0,4,0
-5.57100,36.22687,F080FERJA-381Km74.8SalidatunelDIRLosBarrios,0,4,0
-3.64626,37.15397,F060CENTGR-3303Km3.75LasGabiasDIRGranada,0,4,0
-5.94805,37.40425,F080VTS-SE-30Km0.45SevillaDIRCádiz,0,4,0
-5.94720,37.40291,F080VTS-SE-30Km0.62SevillaDIRMérida,0,4,0
-13.86882,28.48074,F090JUBEFuerteventuraFV-2Km0.57PtoRosarioDIRAirport,0,4,0
-13.86845,28.47458,F090JUBEFuerteventuraFV-2Km1.29AirportDIRPtoRosario,0,4,0
-0.40005,39.79191,F120TOPIA-23Km19.8Soneja-SegorbeDIRZaragoza,0,4,0
-1.66775,42.81841,F050ATAJPamplonaAvNavarra-PteSJorgeDIRBerriozar,0,4,0
-1.66131,42.82332,F030ATAJPamplonaSanJorge-RenfeDIRA,0,4,0
-0.80910,41.72966,F090SEGIA-123Km7.9PeñaflorDIRZaragoza,0,4,0
-1.66913,42.80109,F050ALEJPamplonaAvArósteguiDIRCentro,0,4,0
-1.64842,42.81333,F050ATAJPamplonaAvEjércitoDIRPlPríncipeViana,0,4,0
-1.62337,42.81868,F050ALEJPamplonaCuestaBelosoDIRBurlada,0,4,0
-1.15973,37.94445,F080ENINMU-30Km9ElPalmarDIRMurcia,0,4,0
-2.92066,43.17005,F050ALANBI-625Km376.320TravesíaArrankudiagaDIRBilbao,0,4,0
-0.85802,41.64133,F050BARUZaragozaZ-304EnlaceA-68DIRHuesca,0,4,0
-0.85451,41.66035,F050BARUZaragozaZ-306AntesAvJotaDIRBarcelona,0,4,0
-2.69776,42.86809,F050FIKUVitoriaDuqueWellingtonDIRAvZadorra,0,4,0
-0.45388,38.36764,F050FREDAlicanteViaParque-CajaAhorrosDIRN-332,0,4,0
-2.66919,42.86114,F050PBLSVitoriaZaramaga-1DIRCentro,0,4,0
-2.66854,42.86125,F050PBLSVitoriaZaramaga-2DIRAvCantábrico,0,4,0
-2.34864,37.35666,F060A300A-334Km49.8PurchenaDIRHuércal-Overa,0,4,0
-5.98678,37.34355,F060VTSSE-30Km9.98PuenteVCentenarioDIRCádiz,0,4,0
-5.99675,37.35200,F060VTSSE-30Km11.26PuenteVCentenarioDIRHuelva,0,4,0
-5.99562,37.35090,F060VTSSE-30Km11.11PuenteVCentenarioDIRCádiz,0,4,0
2.17631,41.37240,F060ERETBarcelonaB-10/R.LitoralKm11.3DIRMataró,0,4,0
2.12735,41.38765,F060LETABarcelonaRondaMig-3DIRTibidabo,0,4,0
-1.85397,37.23752,F070A300A-352Km7VeraDIRGarrucha,0,4,0
-3.10352,42.63917,F070CARKN-IKm303.8PancorboDIRIrún,0,4,0
-8.71846,42.19255,F050PICAVigoSubidaalCuvi-ClaraCampoamorDIRN,0,4,0
-0.43206,38.41434,F080A300A-70Km2.4EntradaTúnelCampelloDIRMurcia,0,4,0
-0.43260,38.41389,F080A300A-70Km2.5SalidaTúnelCampelloDIRValencia,0,4,0
-0.44885,38.40178,F080A300A-70Km4.5EntradaTúnelCampelloDIRValencia,0,4,0
-0.44854,38.40284,F080A300A-70Km4.4SalidaTúnelCampelloDIRMurcia,0,4,0
2.14867,41.43632,F080A300BarcelonaB-20/R.DaltKm12.2DIRCornellá,0,4,0
-5.70872,36.10715,F080GOVIN-340Km70.37CruceBoloniaDIRAlgeciras,0,4,0
-2.03700,43.19974,F080LUCAA-15Km155.5EnlaceN-IDIRSanSebastián,0,4,0
-0.49442,38.99120,F080GUILCV-610Km1.57XátivaDIRGenovés,0,4,0
0.88108,40.97174,F080HCCSN-340Km1125.33HospitaletInfantDIRValencia,0,4,0
2.93540,42.30824,F080KROMN-IIKm761FiguerasDIRFrancia,0,4,0
-8.63367,42.18349,F080PDXOA-55Km12.8ClubLosMolinosDIRVigo,0,4,0
-2.89942,43.23261,F080A300A-8Km112.51Int.túnelMalmasínDIRIrún,0,4,0
-2.90820,43.23374,F080SIMPA-8Km113.03Ext.túnelMalmasínDIRSantander,0,4,0
-3.83529,43.42424,F080UFO-S-10Km3.40SantanderDIRBilbao,0,4,0
-3.83768,43.42067,F080UFO-S-10Km3.85MaliañoDIRSantander,0,4,0
2.20928,41.39920,F080XAVIBarcelonaB-10/R.LitoralKm7DIRTarragona,0,4,0
-0.38995,39.10983,F090A300CV-50Km14.76BarracaDIRAlcira,0,4,0
-2.22983,38.84626,F080A300N-322Km316SanPedroDIRAlbacete,0,4,0
-6.54887,37.04469,F090SARGA-483Km37.6MatalascañasDIRAlmonte,0,4,0
-4.85272,37.58060,F090VTS-A-386Km11.3SantaellaDIRLaRambla,0,4,0
-1.65040,37.56624,F100A300RM-11Km13PuríasDIRLorca,0,4,0
2.63133,41.74751,F090DMA-C-35Km69.9HostalrichDIRGerona,0,4,0
